발명의명칭,출원인,출원일자,심사진행상태
마이크로 LED를 이용한 디스플레이 장치 및 이의 제조 방법(DISPLAY DEVICE USING MICRO LED AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2019.10.01,
마이크로 LED를 이용한 디스플레이 장치 및 이의 제조 방법(DISPLAY DEVICE USING MICRO LED AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2019.09.24,
센서를 포함하는 LED 표시장치(Light emitting diode(LED) display device including sensor),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.11.13,
LED 표시장치(Light emitting diode(LED) display device),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.10.14,
마이크로 LED를 이용한 디스플레이 장치 및 이의 제조 방법(DISPLAY DEVICE USING MICRO LED AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2019.09.18,
백라이트 유닛의 LED 구동 모듈 및 방법(Module and method for driving LED of back light unit),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.12.31,
LED 구동 회로(LED Driving Circuit),엘지이노텍 주식회사(서울특별시 강서구...),2009.08.18,등록결정(일반)
다채널 LED의 정전류 제어 장치와 이를 이용한 액정표시장치(APPARATUS FOR CONTROLLING CONSTANT CURRENT FOR MULTI-CHANNEL LED AND LIQUID CRYSTAL DISPLAY USING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2011.11.08,등록결정(일반)
플렉서블 LED 필름 모듈(FLEXIBLE LED FILM MODULE),엘지전자 주식회사(서울특별시 영등포구...),2018.10.26,
LED 드라이버(LED Driver),엘지이노텍 주식회사(서울특별시 강서구...),2009.05.29,등록결정(일반)
LED 패널을 갖는 가전제품 및 조명장치(home appliance and a lighting device having a LED pannel),엘지전자 주식회사(서울특별시 영등포구...),2016.07.28,
마이크로LED 표시장치 및 그 구동방법(MICRO LED DISPLAY DEVICE AND METHOD OF DRIVING THEREOF),엘지디스플레이 주식회사(서울특별시 영등포구...),2017.12.20,
"LED용 광학 렌즈와, 이를 포함하는 백라이트 유닛 및 액정표시장치(OPTICAL LENS FOR LED AND BACKLIGHT UNIT AND LIQUID CRYSTAL DISPLAY DEVICE HAVING THE SAME)",엘지디스플레이 주식회사(서울특별시 영등포구...),2016.11.23,
마이크로 LED 표시 장치(Micro-LED display device),엘지디스플레이 주식회사(서울특별시 영등포구...),2021.06.02,등록결정(일반)
마이크로 LED를 이용한 디스플레이 장치 및 이의 제조 방법(DISPLAY DEVICE USING MICRO LED AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2019.08.26,
마이크로 LED를 이용한 디스플레이 장치 및 이의 제조 방법(DISPLAY DEVICE USING MICRO LED AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2019.08.28,
마이크로 LED를 이용한 디스플레이 장치 및 이의 제조 방법(DISPLAY DEVICE USING MICRO LED AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2019.08.20,
