발명의명칭,출원인,출원일자,심사진행상태
저속 메모리를 이용하여 페이지 리맵핑 방식으로 바이트 어드레스 지정 능력 및 근-DRAM 성능을 달성하는 메커니즘(MECHANISM ENABLING THE USE OF SLOW MEMORY TO ACHIEVE BYTE ADDRESSABILITY AND NEAR-DRAM PERFORMANCE WITH PAGE REMAPPING SCHEME),에스케이하이닉스 주식회사(경기도 이천시...),2017.01.18,취하(심사미청구)
듀얼 포트 램을 이용한 망접속 장치와 셋 탑 유닛의 데이타 전송장치 및 방법(CONNECTION APPARATUS FOR NETWORK AND TRANSMISSION APPARATUS AND METHOD OF SET TOP UNIT USING DUAL PORT RAM),에스케이하이닉스 주식회사(경기도 이천시...),1996.12.30,등록결정(일반)
멀티 스택 STT-MRAM 장치 및 그 제조 방법(Multi-staked spin transfer torque magnetic random access memory and manufacturing method of the same),에스케이하이닉스 주식회사(경기도 이천시...),2008.07.25,등록결정(일반)
상변환 기억 소자의 제조방법(Method of manufacturing phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2006.11.16,등록결정(일반)
저항 메모리 장치 및 그 제조 방법(Resistance RAM and manufacturing method of the same),에스케이하이닉스 주식회사(경기도 이천시...),2008.08.22,거절결정(일반)
에스디램(SDRAM)의데이터마스킹회로(),에스케이하이닉스 주식회사(경기도 이천시...),1998.11.17,등록결정(일반)
마스크및칼러레지스터의입력경로를공유한비디오램(VIDEO RAM OWING IN COMMON INPUT PATH OF MASK AND COLOR RESISTOR),에스케이하이닉스 주식회사(경기도 이천시...),1994.12.31,등록결정(일반)
상변화 메모리 장치의 제조 방법(a Method of manufacturing Phase Change RAM),에스케이하이닉스 주식회사(경기도 이천시...),2010.01.22,등록결정(일반)
다이오드형 상변화 메모리 장치의 제조 방법(a Method of manufacturing diode type Phase Change RAM),에스케이하이닉스 주식회사(경기도 이천시...),2010.01.22,등록결정(일반)
상변화 메모리 장치의 제조 방법(a Method of manufacturing Phase Change RAM),에스케이하이닉스 주식회사(경기도 이천시...),2010.01.18,등록결정(일반)
하부 전극 콘택의 접촉 면적 조절이 가능한 상변화 메모리 장치의 제조 방법(a Method of manufacturing Phase Change RAM having controllable contact area of bottom electrode contact),에스케이하이닉스 주식회사(경기도 이천시...),2010.01.18,등록결정(일반)
상변화 메모리 장치의 제조 방법(a Method of manufacturing Phase Change RAM),에스케이하이닉스 주식회사(경기도 이천시...),2009.11.24,등록결정(일반)
자기저항 램(Magnetoresistive RAM),에스케이하이닉스 주식회사(경기도 이천시...),2009.06.24,등록결정(일반)
고온 초전도체를 이용한 자기저항 램(Magnetoresistive RAM using high-temperature superconductors),에스케이하이닉스 주식회사(경기도 이천시...),2009.06.24,등록결정(일반)
상변환 기억 소자 및 그의 제조방법(PHASE CHANGE RAM DEVICE AND METHOD OF MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...),2009.05.29,거절결정(일반)
상변화 기억 소자 및 그 제조방법(Phase Change RAM device and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2009.02.12,등록결정(일반)
상변화 기억 소자 및 그 제조방법(Phase Change RAM device and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2009.02.12,등록결정(일반)
상변화 기억 소자 및 그 제조방법(Phase Change RAM device and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2009.02.12,취하(심사미청구)
상변환 기억 소자 및 그의 제조방법(PHASE CHANGE RAM DEVICE AND METHOD OF MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...),2008.12.10,취하(심사미청구)
상변화 기억 소자의 제조방법(METHOD OF MANUFACTURING PHASE CHANGE RAM DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),2008.11.21,취하(심사미청구)
