발명의명칭,출원인,출원일자,심사진행상태
I-frame 정보를 이용한 채널 편집 방법을 채택한디지털 텔레비전(digital televion using I-frame data),엘지전자 주식회사(서울특별시 영등포구...),2005.03.28,취하(심사미청구)
복수의 그래픽램을 갖는 이동통신 단말기 및 그 구동방법(Mobile Terminal for having Double Graphic RAM andControl Method thereof),엘지전자 주식회사(서울특별시 영등포구...),2005.03.21,거절결정(일반)
SRAM백업장치(),주식회사 엘지이아이(서울특별시 영등포구...),1991.09.06,취하(심사미청구)
DRAM제어회로(),주식회사 엘지이아이(서울특별시 영등포구...),1991.08.24,취하(심사미청구)
1M/4MDRAM호환장치(),주식회사 엘지이아이(서울특별시 영등포구...),1991.07.10,취하(심사미청구)
듀얼 포트 램을 이용한 피포 수행 시스템 및 그 방법(SYSTEM AND METHOD FOR ACTING FIFO USING DUAL PORT RAM),에릭슨 엘지 주식회사(서울특별시 강남구...),2003.12.30,취하(심사미청구)
DRAM의고속호출장치(),주식회사 엘지이아이(서울특별시 영등포구...),1990.08.31,취하(심사미청구)
캐시SRAM확장장치(),주식회사 엘지이아이(서울특별시 영등포구...),1990.04.11,취하(심사미청구)
DRAM의리프레쉬어드레스확장회로(),주식회사 엘지이아이(서울특별시 영등포구...),1989.05.31,취하(심사미청구)
VME인터페리스버스메모리보드의디램사이클아비트레이션로직(DYNAMIC RAM'S CYCLE ARBITRATION LOGIC IN MEMORY BOARD),주식회사 엘지이아이(서울특별시 영등포구...),1989.04.29,등록결정(일반)
SRAM을 이용한 VP/VC 스위치 시스템(VP/VC SWITCHING SYSTEM USING SRAM),엘지전자 주식회사(서울특별시 영등포구...),2001.10.15,거절결정(일반)
마이크로컴퓨터의DRAM페이지제어회로(),주식회사 엘지이아이(서울특별시 영등포구...),1989.01.31,취하(심사미청구)
다양한크기의DRAM리프레쉬어드레스생성회로(),주식회사 엘지이아이(서울특별시 영등포구...),1988.12.30,취하(심사미청구)
전송시스템의 듀얼포트 램을 이용한 지연위상 보정회로(Apparatus for correcting lagged phase by utilizingdual-port RAM in a transmission system),엘지전자 주식회사(서울특별시 영등포구...),2001.07.25,취하(심사미청구)
DRAM어래이의구동장치(),주식회사 엘지이아이(서울특별시 영등포구...),1988.08.31,취하(심사미청구)
FIFO램카운터제어회로(CONTROL CIRCUIT FOR FIFO RAM COUNTER),주식회사 엘지이아이(서울특별시 영등포구...),1988.07.30,등록결정(일반)
RAM의비상전원장치(),주식회사 엘지이아이(서울특별시 영등포구...),1988.02.15,취하(심사미청구)
오토매틱RAM리플레쉬로직회로(),주식회사 엘지이아이(서울특별시 영등포구...),1987.12.31,취하(심사미청구)
다이나믹램용지연회로(TIME-DELAY CIRCUIT FOR D-RAM),주식회사 엘지이아이(서울특별시 영등포구...),1987.07.11,등록결정(일반)
티브이 프로그램(TVprogram)의 상세 정보 표시장치 및(Apparatus and method for displaying information of detail inTV program),엘지전자 주식회사(서울특별시 영등포구...),1999.01.27,등록결정(일반)
티브이 전자 프로그램 가이드(TV Electro n i c P r o gram Guide)의 프로그램간 이동방법(method for moving between programs in TV Elecitronic programGuide),엘지전자 주식회사(서울특별시 영등포구...),1999.01.26,등록결정(일반)
유에스비를 이용한 램드라이브 겸용 엠피-3 플레이어(MP-3 PLAYER FOR BEING INTERCHANGEABLE OF RAM DRIVE USING USB),엘지전자 주식회사(서울특별시 영등포구...),1998.10.28,등록결정(일반)
하나의램을이용한인터리버/디인터리버방법(CIRCUIT AND METHOD FOR INTERLEAVER/DEINTERLEAVER USING RAM),주식회사 엘지이아이(서울특별시 영등포구...),1998.10.09,등록결정(일반)
SRAM의데이타보상회로(),주식회사 엘지이아이(서울특별시 영등포구...),1986.08.13,취하(심사미청구)
"움직임 벡터를 이용한 프레임 율(FRAME RATE) 변환장치와 방법.(APPARATUS AND A METHOD FOR CONVERTING A FRAME RATE BY USING A MOTION VECTOR, ESPECIALLY FOR CONVERTING A DIGITAL VIDEO FRAME RATE INTO A TELEVISION TYPE FRAME RATE)",엘지전자 주식회사(서울특별시 영등포구...),1997.12.12,취하(심사미청구)
256KDRAM의라우/칼럼및리프레쉬어드레스선택회로(),주식회사 엘지이아이(서울특별시 영등포구...),1985.12.02,취하(심사미청구)
램/롬착탈방식의디지탈컴퓨팅시스템(DIGITAL COMPUTING SYSTEM USING REMOVABLE RAM/ROM AS PORTABLE SUB STORAGE),엘지전자 주식회사(서울특별시 영등포구...),1996.12.30,등록결정(일반)
DRAM의 패리티에러 검사장치(PARITY ERROR CHECKING APPARATUS OF DRAM),엘지정보통신주식회사(서울특별시 강남구...),1996.12.26,등록결정(일반)
64Kㅌ1DRAM의32K바이트메모리장치(),주식회사 엘지이아이(서울특별시 영등포구...),1984.12.28,취하(심사미청구)
영상움직임보상용디램제어시스템(IMAGE MOVING COMPENSATING D-RAM CONTROL SYSTEM),주식회사 엘지이아이(서울특별시 영등포구...),1994.10.26,등록결정(일반)
에스램카드를이용한프린터공유장치(PRINTER COMBINATION UNIT USING S-RAM CARD),주식회사 엘지이아이(서울특별시 영등포구...),1993.01.30,등록결정(일반)
램을이용한오에스디처리장치(ON SCREEN DISPLAY HANDLING APPARATUS USE TO RAM),주식회사 엘지이아이(서울특별시 영등포구...),1992.12.08,등록결정(일반)
DRAM리프레시장치와방법(),주식회사 엘지이아이(서울특별시 영등포구...),1991.12.06,취하(심사미청구)
멀티프로세서의DRAM리프레시장치(),주식회사 엘지이아이(서울특별시 영등포구...),1990.12.22,취하(심사미청구)
초전도GLASS-CERAMIC과그제조방법(),주식회사 엘지이아이(서울특별시 영등포구...),1989.10.14,취하(심사미청구)
