발명의명칭,출원인,출원일자,심사진행상태
강유전체 램 장치 및 그 제조방법(FERROELECTRIC RAM DEVICE AND MANUFACTURING METHOD THEREROF),삼성전자주식회사(경기도 수원시 영통구...),1997.10.07,등록결정(일반)
MRAM 장치 및 자기 저항 소자에 대한 자기장 인가 방법(USING DELAYED ELECTRICAL PULSES WITH MAGNETO-RESISTIVEDEVICES),삼성전자주식회사(경기도 수원시 영통구...),2003.06.19,등록결정(일반)
램 영역과 롬 영역을 동시에 가지는 반도체 메모리 장치(Semiconductor memory device having both RAM portion andROM portion),삼성전자주식회사(경기도 수원시 영통구...),2006.01.09,거절결정(일반)
"이피롬(EPROM, EraableProgrammable Read OnlyMemory} 소자의 셀 구조 및 그 제조방법(Cell structure of EPROM device and fabrication thereof)",삼성전자주식회사(경기도 수원시 영통구...),2003.01.11,등록결정(일반)
동기식랜덤엑세스메모리제어장치및방법(METHOD AND APPRATUS FOR CONTROLLING SYNCHRONOUS RAM),삼성전자주식회사(경기도 수원시 영통구...),1997.09.29,등록결정(일반)
ECG(electrocardiogram) 센서 및 이의 동작 방법(AN ELECTROCARDIOGRAM (ECG) SENSOR AND A METHOD OF OPERATING THE SAME),삼성전자주식회사(경기도 수원시 영통구...),2014.02.18,등록결정(일반)
"플래쉬롬과램을이용한펌웨어구현방법(METHOD FOR REALIZING FIRMWARE BY USING A FLASH ROM AND AN RAM, CAPABLE OF CORRECTING A FIRMWARE BUG AND PROPERLY COPING WITH A CHANGING REQUEST RELATED TO PROCESS TEST, RELIABILITY, AND COMPATIBILITY OF AN HDD)",삼성전자주식회사(경기도 수원시 영통구...),1998.02.20,등록결정(일반)
멀티 비트 셀 어레이 구조를 가지는 마그네틱 램(Magnetoresistive RAM having multi-bit cell arrayconfiguration),삼성전자주식회사(경기도 수원시 영통구...),2004.10.28,등록결정(일반)
"이피롬(EPROM, EraableProgrammable Read OnlyMemory)소자의 셀 구조 및 그 제조방법(Cell structure of EPROM device and fabrication thereof)",삼성전자주식회사(경기도 수원시 영통구...),2003.01.11,등록결정(일반)
PRAM을 이용하는 데이터 기록 시스템 및 그 방법(SYSTEM AND METHOD FOR WRITING DATA USING PRAM),삼성전자주식회사(경기도 수원시 영통구...),2010.09.16,취하(심사미청구)
랜덤 액세스 메모리(RAM) 어레이 설계 방법 및 저항성랜덤 액세스 메모리(RAM) 어레이(METHODS AND STRUCTURE FOR MAXIMIZING SIGNAL TO NOISERATIO IN RESISTIVE ARRAY),삼성전자주식회사(경기도 수원시 영통구...),2002.08.31,거절결정(일반)
선입선출메모리를이용한램테이타전송장치및그방법(RAM DATA TRANFERRING APPARATUS USING FIFO MEMORY AND ITS METHOD),삼성전자주식회사(경기도 수원시 영통구...),1995.11.03,등록결정(일반)
디브이디-램의 재생이 가능한 디브이디-롬 광학계(OPTICAL SYSTEM OF DVD-ROM CAPABLE OF PLAY DVD-RAM),삼성전자주식회사(경기도 수원시 영통구...),1999.04.20,거절결정(일반)
램 및 롬 기능을 갖는 단일 트랜지스터를 포함하는 메모리소자와 그 동작 및 제조방법(Memory device comprising single transistor havingfunctions of RAM and ROM and methods for operating andmanufacturing the same),삼성전자주식회사(경기도 수원시 영통구...),2001.01.11,등록결정(심사전치후)
동기형 램 장치와 시스템 버스를 공유하는 동기형 플래시 메모리 장치의 소거 및 쓰기 방법(ERASURE AND PROGRAMMING METHODS FOR USE IN SYNCHRONOUS FLASH MEMORY DEVICE SHARING SYSTEM BUS WITH SYNCHRONOUS RAM DEVICE),삼성전자주식회사(경기도 수원시 영통구...),1998.08.13,등록결정(일반)
