발명의명칭,출원인,출원일자,심사진행상태
스택 패키지의 리드 프레임 접합 방법(METHOD OF BONDING LEAD FRAME STACK PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1998.10.28,등록결정(일반)
엘오씨패캐이지용칩마운팅장치(LEAD ON CHIP PACKAGE MOUNTING DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),1995.10.07,등록결정(일반)
적층형 비엘피 패키지 및 제조방법(STACKED BUTTOM LEADED PLASTIC PACKAGE ANDMANUFACTURING METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...),1999.10.28,등록결정(일반)
리드프레임의 리버스인풋을 방지하기 위한 화상인식방법(IMAGE RECOGNITION METHOD FOR PREVENTING REVERSE INPUT OF LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1995.10.19,등록결정(일반)
반도체 패키지용 리드 프레임(LEAD FRAME USED SEMICONDUCTOR PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),2007.10.10,취하(심사미청구)
패드부분을얇게한리드프레임(LEAD-FLAME),에스케이하이닉스 주식회사(경기도 이천시...),1990.11.30,등록결정(일반)
LOC 형 패키지를 갖는 반도체 장치(A SEMICONDUCTOR DEVICE WITH PACKAGE OF LEAD ON CHIPTYPE),에스케이하이닉스 주식회사(경기도 이천시...),2002.07.16,취하(심사미청구)
리드프레임(lead frame),에스케이하이닉스 주식회사(경기도 이천시...),1995.06.30,거절결정(일반)
리드프레임 히팅장치(heating apparatus of lead frame),에스케이하이닉스 주식회사(경기도 이천시...),1996.06.27,등록결정(일반)
댐바가없는리드프레임(LEAD FRAME WITHOUT DAM-BAR),에스케이하이닉스 주식회사(경기도 이천시...),1990.10.05,등록결정(일반)
불균일한 이온주입에너지를 갖도록 하는 이온주입장치 및방법(Apparatus and method for ion implanatation leading topartial ion implant energy),에스케이하이닉스 주식회사(경기도 이천시...),2006.04.28,등록결정(일반)
반도체 패키지용 리드 프레임(Lead frame for semiconductor package),에스케이하이닉스 주식회사(경기도 이천시...),2003.03.12,취하(심사미청구)
리드온칩형 패키지를 갖는 반도체 장치(A SEMICONDUCTOR DEVICE WITH PACKAGE OF LEAD ON CHIP TYPE),에스케이하이닉스 주식회사(경기도 이천시...),2002.07.16,등록결정(취소환송후)
와이어 본더의 리드 온 칩 패키지 고정장치(APPARATUS FOR FIXING A LEAD ON CHIP PACKAGE IN WIREBONDER),에스케이하이닉스 주식회사(경기도 이천시...),1999.10.20,등록결정(일반)
반도체 장치의 패키지용 리드프레임 및 반도체 장치(package type lead frame of semiconductor device and semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...),1997.01.10,등록결정(일반)
윈도우클램프및그를이용한리드프레임스트립의정렬방법(A WINDOW CLAMP AND ALIGN METHOD OF LEAD FRAME STRIP USING A WINDOW CLAMP),에스케이하이닉스 주식회사(경기도 이천시...),1995.08.17,등록결정(일반)
리드온칩 패키지의 프리히팅 장치(PREHEATING APPARATUS OF LEAD ON CHIP PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1995.06.30,등록결정(일반)
리드프레임이송장치(LEAD FAME FEEDING APPARATUS),에스케이하이닉스 주식회사(경기도 이천시...),1992.03.31,등록결정(일반)
리드프레임마킹장치(MARKING APPARATUS OF LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1990.06.26,등록결정(일반)
리드프레임의댐바절단용펀치(CUTTER FOR LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1989.11.24,등록결정(일반)
브이-리드 칩 사이즈 패키지(V-LEAD CHIP SIZE PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1999.03.26,취하(심사미청구)
반도체 리드 프레임 또는 이와 유사한 부품의 도금후처리 방법(semiconductor lead frame and method for plating after of parts),에스케이하이닉스 주식회사(경기도 이천시...)|주식회사 제이스텍(충청남도 아산시...),1997.03.07,등록결정(일반)
리드 프레임 역전장치(reversing apparatus for lead frame of semiconductor),에스케이하이닉스 주식회사(경기도 이천시...),1997.11.21,등록결정(일반)
리드 온 칩 타입 리드 프레임을 응용한 버티칼 서퍼스 마운트 패키지(VERTICAL SURPASS MOUNT PACKAGE APPLICATION OF LEAD ON CHIP TYPE LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1997.06.30,등록결정(일반)
리드 프레임(lead frame),에스케이하이닉스 주식회사(경기도 이천시...),1997.06.27,등록결정(일반)
리드 온 칩 패키지(lead on chip package),에스케이하이닉스 주식회사(경기도 이천시...),1996.12.30,등록결정(일반)
반도체 패키지용 리드 프레임(semiconductor package lead frame),에스케이하이닉스 주식회사(경기도 이천시...),1996.06.27,등록결정(일반)
리드 온 칩 패키지(LEAD ON CHIP PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1996.06.27,등록결정(일반)
배면 리드 노출형 반도체 패키지(BOTTOM LEAD EXPOSURE TYPE SEMICONDUCTOR PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1996.06.27,등록결정(일반)
리드프레임의 활자 각인용 펀칭장치(punching apparatus of lead frame),에스케이하이닉스 주식회사(경기도 이천시...),1996.06.22,등록결정(일반)
리드 프레임 공급 장치(support apparatus of lead frame),에스케이하이닉스 주식회사(경기도 이천시...),1996.03.08,등록결정(일반)
리드온칩패키지(LEAD ON CHIP PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1995.12.18,등록결정(일반)
"메탈패턴을형성한리드온칩패키지(LEAD ON PACKAGE, METAL PATTERN FORMATION)",에스케이하이닉스 주식회사(경기도 이천시...),1995.12.15,등록결정(일반)
리드프레임(lead frame),에스케이하이닉스 주식회사(경기도 이천시...),1995.06.30,거절결정(일반)
리드온칩 패키지용 다이어태치 장치(DIE ATTACH APPARATUS FOR LEAD ON CHIP PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1995.06.30,등록결정(일반)
엘오씨패캐이지용리드프레임(lead frame of LOC package type),에스케이하이닉스 주식회사(경기도 이천시...),1995.06.30,거절결정(일반)
리드프레임이송장치(Lead Frame Transporting Apparatus),에스케이하이닉스 주식회사(경기도 이천시...),1995.06.29,등록결정(일반)
리드프레임용메거진(Lead Frame Magazine),에스케이하이닉스 주식회사(경기도 이천시...),1995.05.20,등록결정(일반)
리드온칩반도체장치(LEAD ON CHIP SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),1994.12.31,등록결정(일반)
리드온칩반도체패키지(lead on chip semiconductor package),에스케이하이닉스 주식회사(경기도 이천시...),1994.12.31,등록결정(일반)
엘오시(LOC)타입리드프레임(lead frame of loc type),에스케이하이닉스 주식회사(경기도 이천시...),1994.12.19,등록결정(일반)
